Date,Game,Team,Opponent,Min,Pts,FG,FG%,2P,2P%,3P,3P%,FT,FT%,OREB,DREB,REB,AST,PF,TO,STL,BLK,PM,EFF
20230827,GroupE,AUS,GER,200,82,32/59,54.20%,23/40,57.50%,9/19,47.40%,9/16,56%,8,24,32,18,16,13,4,3,-3,89
20230827,GroupE,GER,AUS,200,85,31/61,50.80%,20/31,64.50%,11/30,36.70%,12/15,80%,6,21,27,18,19,13,9,3,3,95
20230827,GroupE,JPN,FIN,200,98,30/58,51.70%,19/30,63.30%,11/28,39.30%,27/34,79.40%,9,27,36,24,19,14,9,4,10,116
20230827,GroupE,FIN,JPN,200,88,32/70,45.70%,20/41,48.80%,12/29,41.40%,12/14,85.70%,13,22,35,28,24,13,8,2,-10,101
20230829,GroupE,GER,FIN,200,101,39/68,57.40%,28/36,77.80%,11/32,34.40%,12/16,75%,12,21,33,29,16,9,13,1,26,132
20230829,GroupE,FIN,GER,200,75,28/58,48.30%,17/26,65.40%,11/32,34.40%,8/8,100%,9,15,24,20,13,18,5,3,-26,79
20230829,GroupE,AUS,JPN,200,109,44/84,52.40%,36/57,63.20%,8/27,29.60%,13/16,81.20%,19,25,44,31,14,7,9,7,20,149
20230829,GroupE,JPN,AUS,200,89,33/69,47.80%,23/36,63.90%,10/33,30.30%,13/16,81.20%,12,21,33,22,15,15,4,2,-20,92
20230826,GroupF,CPV,GEO,200,60,21/71,29.60%,18/45,40.00%,3/26,11.50%,15/21,71.40%,18,20,38,15,26,15,11,3,-25,55
20230826,GroupF,GEO,CPV,200,85,28/60,46.70%,21/41,51.20%,7/19,36.80%,22/24,91.70%,11,37,48,23,21,22,9,1,25,104
20230826,GroupF,SLO,VEN,200,100,33/56,58.90%,22/28,78.60%,11/28,39.30%,23/30,76.70%,12,27,39,17,20,16,4,1,15,112
20230826,GroupF,VEN,SLO,200,85,31/67,46.30%,15/27,55.60%,16/40,40%,7/11,63.60%,10,13,23,20,26,14,9,0,-15,81
20230828,GroupF,VEN,CPV,200,75,24/63,38.10%,12/31,38.70%,12/32,37.50%,15/20,75%,9,27,36,17,24,14,6,1,-6,71
20230828,GroupF,CPV,VEN,200,81,27/59,45.80%,16/33,48.50%,11/26,42%,16/27,59.30%,10,32,42,14,18,11,9,4,6,91
20230828,GroupF,GEO,SLO,200,67,23/55,41.80%,15/29,51.70%,8/26,30.80%,13/19,68.40%,7,25,32,20,28,17,6,1,-21,69
20230828,GroupF,SLO,GEO,200,88,26/58,44.80%,15/26,57.70%,11/32,34.40%,25/33,75.80%,10,30,40,19,26,13,9,1,21,104
20230830,GroupF,GEO,VEN,200,70,25/57,43.90%,20/34,58.80%,5/23,21.70%,15/21,71.40%,10,30,40,15,14,12,5,2,11,76
20230830,GroupF,VEN,GEO,200,59,25/67,37.30%,19/42,45.20%,6/25,24%,3/7,42.90%,13,21,34,17,18,11,3,2,-11,56
20230830,GroupF,SLO,CPV,200,92,29/67,43.30%,18/32,56.20%,11/35,31.40%,23/30,76.70%,14,25,39,24,20,10,10,0,15,107
20230830,GroupF,CPV,SLO,200,77,31/65,47.70%,24/41,58.50%,7/24,29.20%,8/9,88.90%,9,23,32,21,26,19,4,1,-15,79
20230826,GroupG,IRI,BRA,200,59,24/65,36.90%,16/36,44.40%,8/29,27.60%,3/8,37.50%,8,21,29,17,20,19,7,1,-41,46
20230826,GroupG,BRA,IRI,200,100,35/64,54.70%,21/30,70%,14/34,41.20%,16/21,76.20%,8,34,42,25,11,15,12,3,41,129
20230826,GroupG,ESP,CIV,200,94,34/64,53.10%,23/35,65.70%,11/29,37.90%,15/22,68.20%,17,31,48,29,15,18,7,5,30,123
20230826,GroupG,CIV,ESP,200,64,25/63,39.70%,16/37,43.20%,9/26,34.60%,5/7,71.40%,7,19,26,15,23,14,11,1,-30,60
20230828,GroupG,CIV,IRI,200,71,22/59,37.30%,15/37,40.50%,7/22,31.80%,20/21,95.20%,12,23,35,15,15,12,9,2,2,78
20230828,GroupG,IRI,CIV,200,69,24/57,42.10%,14/29,48.30%,10/28,35.70%,11/15,73.30%,10,25,35,20,22,14,6,3,-2,79
